Historical Date,AAPL US Equity,MSFT US Equity
10/06/2015,32.22,46.61
11/06/2015,32.148,46.44
12/06/2015,31.793,45.97
15/06/2015,31.73,45.475
16/06/2015,31.9,45.83
17/06/2015,31.825,45.97
18/06/2015,31.97,46.72
19/06/2015,31.65,46.1
22/06/2015,31.903,46.23
23/06/2015,31.758,45.91
24/06/2015,32.028,45.635
25/06/2015,31.875,45.65
26/06/2015,31.688,45.26
29/06/2015,31.133,44.37
30/06/2015,31.356,44.15
01/07/2015,31.65,44.445
02/07/2015,31.61,44.4
06/07/2015,31.5,44.39
07/07/2015,31.423,44.3
08/07/2015,30.643,44.24
09/07/2015,30.018,44.52
10/07/2015,30.82,44.61
13/07/2015,31.415,45.54
14/07/2015,31.403,45.62
15/07/2015,31.705,45.76
16/07/2015,32.128,46.66
17/07/2015,32.405,46.62
20/07/2015,33.018,46.92
21/07/2015,32.688,47.28
22/07/2015,31.305,45.54
23/07/2015,31.29,46.11
24/07/2015,31.125,45.94
27/07/2015,30.693,45.35
28/07/2015,30.845,45.34
29/07/2015,30.748,46.29
30/07/2015,30.593,46.88
31/07/2015,30.325,46.7
03/08/2015,29.61,46.81
04/08/2015,28.66,47.54
05/08/2015,28.85,47.58
06/08/2015,28.783,46.62
07/08/2015,28.88,46.74
10/08/2015,29.93,47.33
11/08/2015,28.373,46.41
12/08/2015,28.81,46.74
13/08/2015,28.788,46.73
14/08/2015,28.99,47
17/08/2015,29.29,47.32
18/08/2015,29.125,47.27
19/08/2015,28.753,46.61
20/08/2015,28.163,45.66
21/08/2015,26.44,43.07
24/08/2015,25.78,41.68
25/08/2015,25.935,40.47
26/08/2015,27.423,42.71
27/08/2015,28.23,43.9
28/08/2015,28.323,43.93
31/08/2015,28.19,43.52
01/09/2015,26.93,41.82
02/09/2015,28.085,43.36
03/09/2015,27.593,43.5
04/09/2015,27.318,42.61
08/09/2015,28.078,43.89
09/09/2015,27.538,43.07
10/09/2015,28.143,43.29
11/09/2015,28.553,43.48
14/09/2015,28.828,43.04
15/09/2015,29.07,43.98
16/09/2015,29.103,44.3
17/09/2015,28.48,44.25
18/09/2015,28.363,43.48
21/09/2015,28.803,44.11
22/09/2015,28.35,43.9
23/09/2015,28.58,43.87
24/09/2015,28.75,43.91
25/09/2015,28.678,43.94
28/09/2015,28.11,43.29
29/09/2015,27.265,43.44
30/09/2015,27.575,44.26
01/10/2015,27.395,44.61
02/10/2015,27.595,45.57
05/10/2015,27.695,46.63
06/10/2015,27.828,46.75
07/10/2015,27.695,46.8
08/10/2015,27.375,47.45
09/10/2015,28.03,47.11
12/10/2015,27.9,47
13/10/2015,27.948,46.89
14/10/2015,27.553,46.68
15/10/2015,27.965,47.01
16/10/2015,27.76,47.51
19/10/2015,27.933,47.62
20/10/2015,28.443,47.77
21/10/2015,28.44,47.2
22/10/2015,28.875,48.03
23/10/2015,29.77,52.87
26/10/2015,28.82,54.25
27/10/2015,28.638,53.69
28/10/2015,29.818,53.98
29/10/2015,30.133,53.36
30/10/2015,29.875,52.64
02/11/2015,30.295,53.24
03/11/2015,30.643,54.15
04/11/2015,30.5,54.4
05/11/2015,30.23,54.38
06/11/2015,30.265,54.92
09/11/2015,30.143,54.16
10/11/2015,29.193,53.51
11/11/2015,29.028,53.65
12/11/2015,28.93,53.32
13/11/2015,28.085,52.84
16/11/2015,28.544,53.765
17/11/2015,28.423,52.97
18/11/2015,29.323,53.85
19/11/2015,29.695,53.94
20/11/2015,29.825,54.19
23/11/2015,29.438,54.19
24/11/2015,29.72,54.25
25/11/2015,29.508,53.69
27/11/2015,29.453,53.93
